,Unnamed: 0,Winery,Wine,Rating,Num_Reviews,Price,Country,Region,Year,Tipo,Zona,Maridaje
71,88,Cavas Hill,Masia Hill Rosé 2023,3.1,59,4.21,España,Cataluña,2023,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
72,91,Marques de Vitoria,Verdejo 2020,3.6,177,4.25,España,Rioja,2020,blanco,Norte (España),"Mariscos, Merluza a la vasca"
73,92,Cellers Domenys,Capvespre Origen Blanc 2023,3.2,42,4.25,España,Cataluña,2023,blanco,Norte (España),"Mariscos, Merluza a la vasca"
74,93,Mesta,Tempranillo Selección 2023,3.3,91,4.25,España,Uclés,2023,tinto,Centro (España),"Cordero asado, Queso manchego"
75,94,Gran Feudo,Rosado 2021,3.5,245,4.25,España,Navarra,2021,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
76,95,Cresta Rosa,Rosé N.V.,3.3,1003,4.25,España,Penedès,N.V.,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
77,96,Blanc Pescador,Sparkling N.V.,3.4,8669,4.25,España,Empordà,N.V.,espumoso,Norte (España),"Tortilla de patatas, Piquillos rellenos de marisco"
78,98,Castillo Perelada,Pescador Rosé N.V.,3.4,325,4.25,España,Empordà,N.V.,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
79,101,Bodegas Faustino,VII Rosado 2023,3.6,59,4.27,España,Rioja,2023,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
80,102,Bodegas Faustino,VII Bianco 2023,3.7,150,4.27,España,Rioja,2023,blanco,Norte (España),"Mariscos, Merluza a la vasca"
81,103,Gran Feudo,Rosado 2022,3.5,184,4.27,España,Navarra,2022,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
82,104,Berceo,Tempranillo 2018,3.5,190,4.28,España,Rioja,2018,tinto,Norte (España),"Chuletas de cordero, Chistorra"
83,105,Bodegas Aragonesas,Rozzulo Rosé 2023,3.8,212,4.3,España,Campo de Borja,2023,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
84,106,Garriguella,Dinarells Tinto 2023,3.2,570,4.3,España,Empordà,2023,tinto,Norte (España),"Chuletas de cordero, Chistorra"
85,107,Sinforiano,Raimun Verdejo 2021,3.6,456,4.3,España,Castilla y León,2021,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
86,108,El Coto,Rosado 2023,3.5,185,4.3,España,Rioja,2023,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
87,109,Alsina & Sarda,Onom Blanco 2023,3.4,49,4.3,España,Penedès,2023,blanco,Norte (España),"Mariscos, Merluza a la vasca"
88,110,Garriguella,Dinarells Blanco 2022,3.0,382,4.3,España,Empordà,2022,blanco,Norte (España),"Mariscos, Merluza a la vasca"
89,111,Finca Constancia,Altozano Tempranillo 2022,3.7,98,4.3,España,Castilla,2022,tinto,Centro (España),"Cordero asado, Queso manchego"
90,112,Garriguella,Dinarells Rosé 2023,3.0,86,4.3,España,Empordà,2023,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
91,114,El Coto,Blanco 2023,3.6,952,4.3,España,Rioja Alta,2023,blanco,Norte (España),"Mariscos, Merluza a la vasca"
92,115,Nuviana,Cabernet Sauvignon - Tempranillo Rosado 2023,3.6,3350,4.33,España,Valle del Cinca,2023,tinto,Norte (España),"Chuletas de cordero, Chistorra"
93,116,Bodegas Zinio,Zinio Rosado 2023,3.4,254,4.35,España,Rioja Alta,2023,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
94,117,Muruve,Verdejo 2023,3.7,54,4.35,España,Rueda,2023,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
95,118,Cuatro Rayas,Descomunal Verdejo 2023,3.7,87,4.35,España,Rueda,2023,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
96,119,Las Campanas,Garnacha Rosé 2023,3.5,1417,4.39,España,Navarra,2023,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
97,121,Bach,Viña Extrísima Tinto 2022,3.4,74,4.4,España,Cataluña,2022,tinto,Norte (España),"Chuletas de cordero, Chistorra"
98,122,Campo Viejo,Tempranillo 2021,3.7,3585,4.4,España,Rioja,2021,tinto,Norte (España),"Chuletas de cordero, Chistorra"
99,123,Señorío de Sarria,Rosado 2023,3.6,91,4.4,España,Navarra,2023,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
100,124,Bach,Viña Extrísima Rosado 2023,3.4,1455,4.4,España,Cataluña,2023,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
101,125,Ladrón de Lunas,La oBejita Azul Sauvignon Blanc 2022,3.8,31,4.4,España,Valencia,2022,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
102,126,Bodegas Aragonesas,Coto de Hayas Garnacha Rosado 2021,3.3,43,4.4,España,Campo de Borja,2021,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
