Winery,Wine,Rating,num_reviews,Price,Country
Bodegas Príncipe de Viana,Crianza,3.5,33,5.6,
Joan Sardà,Aladelta Tinto,3.7,90,5.65,
Murviedro,Audentia Petit Verdot,3.7,584,5.65,
El Coto,Crianza,3.7,1989,5.66,
Covitoro,Cermeño Tinta de Toro,3.3,884,5.67,
Bodega Sommos,Merlot - Cabernet Roble,3.7,152,5.7,
Bodega Sommos,Merlot - Cabernet Roble,3.7,935,5.7,
Bodega Pirineos,Montesierra Crianza,3.3,1220,5.7,
De Muller,Solimar Tinto,3.9,41,5.7,
Marqués de la Concordia,Crianza Rioja,3.8,540,5.75,
Oliveda,Origens,3.6,388,5.78,
Gran Feudo,Crianza,3.7,623,5.79,
La Cova Dels Vins,Deler Tinto,3.5,25,5.8,
Bodegas Arraez,Vivir Sin Dormir Tinto,3.7,45,5.8,
D. Mateos,Letargo Vendimia Seleccionada Tempranillo,3.7,598,5.8,
Abad,Abad Dom Bueno Mencia,3.6,2066,5.8,
Venta La Vega - Bodegas Almanseñas,Calizo de Adaras,3.1,185,5.8,
Atalaya,Laya,4.0,128,5.81,
Garriguella,Pessetero Tinto,3.4,70,5.82,
Ederra,Rioja Crianza,3.7,393,5.84,
Oliveda,Món Perdut Negre,3.3,229,5.84,
Enate,Cabernet Sauvignon - Merlot,3.6,15164,5.85,
Altavins,Almodí Petit Tinto,3.6,5432,5.85,
Honoro Vera,Rioja,3.5,838,5.85,
Lagar de Aso,Crianza,3.2,106,5.86,
Volver,Tarima Monastrell,3.8,1087,5.86,
Celler Batea,Primicia Criança,3.5,34,5.87,
Particular,Cariñena,3.7,152,5.9,
Bienbebido,Come Jamon y Bebe Vino,3.0,312,5.9,
Bienbebido,Come Queso y Bebe Vino,3.3,579,5.9,
Bienbebido,Come Pollo y Bebe Vino,2.9,108,5.9,
Laudum,Roble Monastrell - Syrah,3.8,64,5.9,
Bodegas Zinio,Lágrimas de María Crianza Tempranillo,3.7,2217,5.9,
Carlos Valero,Heredad X,3.6,231,5.9,
Borsao Bodegas,Bole,3.9,75,5.9,
Castillo Perelada,Empordà Jardins Negre,3.6,26,5.9,
Oriol Rossell,Xino-Xano Tinto,3.3,751,5.9,
Bodegas Fontana,Dominio de Fontana Garnacha - Syrah,3.6,57,5.9,
René Barbier,Abocado Semiseco,3.6,32,5.9,
Sierra Salinas,El Caire Monastrell,4.0,500,5.9,
Altos de Rioja,Altos R Tempranillo,3.9,54,5.9,
Falset Marçà,Falset Tinto,2.9,379,5.94,
Cellers Tarroné,La Pinxa del Barri Garnatxa Negra,3.5,50,5.95,
Barahonda,Carro,3.8,48,5.95,
Pata Negra,Toro Roble,3.3,1032,5.95,
Vinos López,El Ventilador Tinto,3.7,36,5.95,
Alceño,4 Meses Roble Monastrell,3.5,783,5.95,
Luzon,Colección Monastrell,3.7,44,5.95,
Abad,Abad Dom Bueno Mencia,3.6,2066,5.95,
Honoro Vera,Monastrell,3.9,268,5.95,
Garriguella,Puntils Rouge,3.4,335,5.98,
Montesoro,Mencia,3.2,78,5.99,
Cellers Tarroné,La Pinxa del Barri Garnatxa Negra,3.5,50,5.99,
Castillo de Monjardin,Vinedos del Villar Tempranillo,3.6,58,5.99,
Celler Masroig,Solà Fred,3.5,4296,5.99,
Ferré I Catasús,Compta Ovelles Negre,3.2,2626,5.99,
Campillo,El Niño de Campillo Rioja,3.5,3534,5.99,
Bodegas Cosme Palacio,Glorioso  Rioja Crianza,3.8,187,6.0,
El Circo,Forzudo Crianza,3.6,210,6.0,
Pago Casa del Blanco,d Mente,3.3,352,6.0,
Toresanas,Orot Roble,3.5,660,6.0,
Viña Paceta,Crianza,3.7,190,6.01,
Navajas,Rioja Crianza Tinto,3.9,278,6.01,
Cercavins,Lo Virol Tinto,3.2,635,6.04,
Bodega Pirineos,3404 Tinto,3.7,508,6.04,
Bodegas Paco Mulero,Prisma Garnacha,3.7,318,6.05,
Finca Antigua,Syrah,3.6,1073,6.05,
Finca Antigua,Petit Verdot,3.7,69,6.05,
Bodegas Ponce,Depaula Monastrell,3.6,1982,6.09,
Urbion,Cuvée Tinto,3.2,999,6.09,
Carlos Valero,Matarile,3.5,112,6.1,
Laus,Garnacha tinta,3.7,101,6.1,
Familia Torres,Mas Rabell,3.7,43,6.1,
Lo Cometa,Garnatxa Negra - Syrah,3.5,458,6.1,
Palacio de Sada,Garnacha 80 Aniversario,3.8,1160,6.1,
Volver,Wrongo Dongo Monastrell,3.7,120,6.1,
Ruda,Ensamblaje,3.2,26,6.1,
Campo Viejo,Crianza,3.7,1329,6.1,
Honoro Vera,Monastrell,3.9,46,6.15,
Monte Odina,Garnacha,3.5,53,6.15,
Honoro Vera,Garnacha,3.9,500,6.15,
Bodega Otto Bestué,Garnacha,3.6,509,6.15,
Neo,Disco,3.4,1376,6.17,
Federico Paternina,Rioja Reserva,3.8,507,6.17,
Volver,Paso a Paso Tempranillo,3.7,220,6.18,
Pacheco,Cuvée Elena,3.5,159,6.2,
Volver,Tarima Monastrell,3.8,28,6.2,
Luzon,Finca Luzon,3.3,4131,6.2,
D. Mateos,Letargo Crianza,3.5,100,6.2,
Señorío de Sarria,Crianza,3.7,76,6.2,
Domeco de Jarauta,Viña Marro Vendimia Seleccionada,3.6,461,6.2,
Pagos del Rey,Sentero Tinta de Toro Joven,3.7,45,6.2,
Terrer de La Creu,Negre,3.5,88,6.2,
Carviresa,3 Setmanes Negre,3.7,59,6.2,
Volver,Tarima Selección Monastrell - Syrah,3.9,31,6.21,
Bodegas Zinio,Zinio Crianza Tempranillo,3.9,114,6.21,
Hacienda López de Haro,Crianza,3.8,3588,6.23,
Sierra Salinas,MO Monastrell,3.4,5661,6.25,
Corcovo - Megía e Hijos,Tempranillo,3.6,715,6.25,
Homenaje,Torre del Homenaje Garnacha Roble,3.5,101,6.25,
El Coto,Crianza,3.7,4658,6.25,
