Winery,Wine,Rating,num_reviews,Price,Country,Region,Food Pairings
Familia Torres,Sangre de Toro,3.5,40009,4.9,España,Sin región,Sin maridaje
Finca La Estacada,Envejecido 6 Meses En Barrica,3.5,2196,4.93,España,Sin región,Sin maridaje
Finca La Estacada,Envejecido 6 Meses En Barrica,3.5,2196,4.93,España,Sin región,Sin maridaje
Toresanas,Orot,3.6,85,4.95,España,Sin región,Sin maridaje
Tarón,Tempranillo,3.3,751,4.95,España,Sin región,Sin maridaje
Cellar Vins Algars,Organic Tinto,3.6,81,4.95,España,Sin región,Sin maridaje
Bodegas Cosme Palacio,Milflores Rioja Tinto,3.5,125,4.95,España,Sin región,Sin maridaje
Miedes,Crianza,3.5,215,4.95,España,Sin región,Sin maridaje
Azabache,Crianza,3.2,72,4.95,España,Sin región,Sin maridaje
Bodegas Príncipe de Viana,Colección Monovarietales Syrah Roble,3.3,1494,4.95,España,Sin región,Sin maridaje
Monte Ory,Crianza,3.5,214,4.95,España,Sin región,Sin maridaje
Marqués de Altillo,Tinto,3.3,1483,4.95,España,Sin región,Sin maridaje
Viñas del Vero,Roble Cabernet Sauvignon - Merlot Somontano,3.5,37,4.96,España,Sin región,Sin maridaje
Oliveda,Marrec Tinto,3.3,457,4.99,España,Sin región,Sin maridaje
Hoya de Cadenas,Reserva Privada,3.5,3304,4.99,España,Sin región,Sin maridaje
Félix Solís,The Guv’nor,4.0,22513,4.99,España,Sin región,Sin maridaje
Bodegas Piqueras,Castillo de Almansa Crianza,3.5,1757,4.99,España,Sin región,Sin maridaje
Bo,Bobal Único,3.6,3854,4.99,España,Sin región,Sin maridaje
El Miracle,No. 01,3.5,2457,4.99,España,Sin región,Sin maridaje
Esporão,Alandra Tinto,3.5,124,2.69,Portugal,Sin región,Sin maridaje
Terreiro,Alma do Tejo Colheita Seleccionada Tinto,3.8,42,2.99,Portugal,Sin región,Sin maridaje
Herdade Paço do Conde,Vinha do Conde Tinto,3.7,261,3.2,Portugal,Sin región,Sin maridaje
Castelo do Sulco,Seleção dos Enólogos,3.5,323,3.23,Portugal,Sin región,Sin maridaje
Vila Regia,Douro,3.5,169,3.38,Portugal,Sin región,Sin maridaje
Terreiro,Alma do Tejo Reserva Tinto,3.6,76,3.45,Portugal,Sin región,Sin maridaje
Cadão,Tinto,3.5,78,3.47,Portugal,Sin región,Sin maridaje
Desafinado,Tinto,3.6,947,3.49,Portugal,Sin región,Sin maridaje
Cabriz,C de Cabriz Tinto,3.3,439,3.5,Portugal,Sin región,Sin maridaje
Conto,Syrah,3.9,115,3.66,Portugal,Sin región,Sin maridaje
Casa Ermelinda Freitas,Terras Do Pó Tinto,3.5,6537,3.67,Portugal,Sin región,Sin maridaje
Burmester,Tavedo Douro,3.7,158,3.75,Portugal,Sin región,Sin maridaje
Bacalhôa,Serras de Azeitão Tinto,3.6,46,3.76,Portugal,Sin región,Sin maridaje
Fiuza,3 Castas Tinto,3.3,3118,3.76,Portugal,Sin región,Sin maridaje
AdegaMãe,Pinta Negra Tinto,3.8,56,3.79,Portugal,Sin región,Sin maridaje
AdegaMãe,Copo 3 Tinto,4.0,340,3.79,Portugal,Sin región,Sin maridaje
Marquês de Marialva,Colheita Seleccionada Tinto,3.8,289,3.83,Portugal,Sin región,Sin maridaje
Favaios,Casa Velha Tinto,3.7,82,3.84,Portugal,Sin región,Sin maridaje
Grão Vasco,Dão Tinto,3.6,80,3.94,Portugal,Sin región,Sin maridaje
Vila Real,Reserva Tinto,3.8,318,4.01,Portugal,Sin región,Sin maridaje
Bacalhôa,Quatro Ventos,3.7,2242,4.09,Portugal,Sin región,Sin maridaje
Vinha do Monte,Alentejano Tinto,3.6,107,4.1,Portugal,Sin región,Sin maridaje
Herdade Monte Da Cal,Colheita Seleccionada Tinto,3.6,1894,4.16,Portugal,Sin región,Sin maridaje
Montaria,Reserva Alentejano Tinto,3.6,34,4.17,Portugal,Sin región,Sin maridaje
Castelo do Sulco,Seleção dos Enólogos Reserva Tinto,3.8,70,4.25,Portugal,Sin región,Sin maridaje
Costa Boal Family Estates,Flor do Tua Tinto,3.8,50,4.25,Portugal,Sin región,Sin maridaje
Lab,Tinto,3.7,197,4.29,Portugal,Sin región,Sin maridaje
Bacalhôa,Alabastro Tinto,3.7,496,4.35,Portugal,Sin región,Sin maridaje
José Maria da Fonseca,Periquita Tinto (Original),3.7,571,4.35,Portugal,Sin región,Sin maridaje
Esporão,Monte Velho Tinto,3.7,335,4.38,Portugal,Sin región,Sin maridaje
Quinta das Cerejeiras,Lisboa Tinto,4.0,158,4.4,Portugal,Sin región,Sin maridaje
Quinta do Sanguinhal,Casabel Tinto,3.7,765,4.42,Portugal,Sin región,Sin maridaje
Arca Nova,Vinho Verde Vinhão,3.5,536,4.52,Portugal,Sin región,Sin maridaje
Joao Portugal Ramos,Pouca Roupa Tinto,3.6,45,4.52,Portugal,Sin región,Sin maridaje
Quinta da Espiga,Tinto,3.7,221,4.52,Portugal,Sin región,Sin maridaje
Bridão,Syrah,3.7,54,4.69,Portugal,Sin región,Sin maridaje
Vidigal,Reserva Lisboa,3.7,277,4.69,Portugal,Sin región,Sin maridaje
Porca de Murca,Tinto,3.8,1168,4.8,Portugal,Sin región,Sin maridaje
Herdade da Pimenta,Preta,3.9,59,4.8,Portugal,Sin región,Sin maridaje
AdegaMãe,Dory Tinto,3.7,45,4.86,Portugal,Sin región,Sin maridaje
Herdade Paço do Conde,Alentejano Tinto,3.7,68,4.87,Portugal,Sin región,Sin maridaje
Beyra,Tinto,3.6,1536,4.88,Portugal,Sin región,Sin maridaje
Conde de Vimioso,Colheita Seleccionada Tinto,3.5,29,4.88,Portugal,Sin región,Sin maridaje
Lagoalva,Tinto,3.6,454,4.96,Portugal,Sin región,Sin maridaje
Fiuza,3 Castas Reserva,3.8,66,5.03,Portugal,Sin región,Sin maridaje
AdegaMãe,Pinta Negra Reserva Tinto,3.8,58,5.15,Portugal,Sin región,Sin maridaje
Castello d'Alba,Reserva,3.9,247,5.15,Portugal,Sin región,Sin maridaje
Quinta dos Carvalhais,Duque de Viseu Tinto,3.9,27,5.24,Portugal,Sin región,Sin maridaje
Casa Ferreirinha,Esteva Douro,3.7,66678,5.25,Portugal,Sin región,Sin maridaje
Herdade de São Miguel,Colheita Seleccionada Tinto,4.0,1483,5.25,Portugal,Sin región,Sin maridaje
Porta 6,Tinto,3.7,564,5.3,Portugal,Sin región,Sin maridaje
Caves São João,Frei João,3.8,72,5.42,Portugal,Sin región,Sin maridaje
Fafide,Colheita Tinto,3.6,718,5.42,Portugal,Sin región,Sin maridaje
Quinta dos Termos,Tinto,3.8,209,5.48,Portugal,Sin región,Sin maridaje
Casa Cadaval,Colheita Tinto,3.6,113,5.49,Portugal,Sin región,Sin maridaje
Murganheira,Tinto,3.5,726,5.53,Portugal,Sin región,Sin maridaje
Casa Cadaval,Padre Pedro Tinto,3.4,1585,5.53,Portugal,Sin región,Sin maridaje
Raposeira,Tinto,3.5,901,5.54,Portugal,Sin región,Sin maridaje
Cadão,Reserva Tinto,3.8,192,5.59,Portugal,Sin región,Sin maridaje
Quinta do Carmo,Dom Martinho Tinto,3.8,294,5.64,Portugal,Sin región,Sin maridaje
Casa da Passarella,A Descoberta Colheita Tinto,3.8,34,5.64,Portugal,Sin región,Sin maridaje
Cabriz,Colheita Seleccionada Tinto,3.8,377,5.79,Portugal,Sin región,Sin maridaje
Quinta do Pinto,Terroir Expressions,3.7,67,5.81,Portugal,Sin región,Sin maridaje
Quinta do Pinto,Terroir Expressions,3.7,67,5.81,Portugal,Sin región,Sin maridaje
Montes Ermos,Reserva Tinto,3.8,108,5.82,Portugal,Sin región,Sin maridaje
Tiago Cabaço,.com Tinto,3.5,340,5.82,Portugal,Sin región,Sin maridaje
Manz,Lisboa Tinto,3.9,236,5.88,Portugal,Sin región,Sin maridaje
Lavradores de Feitoria,Douro Tinto,4.1,129,5.88,Portugal,Sin región,Sin maridaje
Lua Cheia - Saven,Em Vinhas Velhas Tinto,3.7,6342,5.92,Portugal,Sin región,Sin maridaje
Serrano Mira,Monte das Servas Tinto,3.7,93,5.93,Portugal,Sin región,Sin maridaje
Manz,Penedo do Lexim,3.7,61,5.93,Portugal,Sin región,Sin maridaje
Raul A. Riba d'Ave,Cancela de Abreu & Riba d'Ave Tinto,3.9,362,5.96,Portugal,Sin región,Sin maridaje
Quinta do Pinto,Vinhas do Lasso Colheita Seleccionada Tinto,3.9,190,5.99,Portugal,Sin región,Sin maridaje
Herdade da Calada,Vale da Calada Tinto,3.9,122,5.99,Portugal,Sin región,Sin maridaje
João Clara,Às Claras Tinto,3.8,47,5.99,Portugal,Sin región,Sin maridaje
Ravasqueira,Syrah,3.9,110,6.05,Portugal,Sin región,Sin maridaje
Herdade da Calada,Porta da Calada Tinto,3.6,111,6.05,Portugal,Sin región,Sin maridaje
Joao Portugal Ramos,Marquês de Borba Tinto,3.7,86,6.16,Portugal,Sin región,Sin maridaje
Terreiro,Alma do Tejo Tinto,3.5,202,6.21,Portugal,Sin región,Sin maridaje
Esporão,Assobio Douro,3.8,345,6.24,Portugal,Sin región,Sin maridaje
Monte da Raposinha,Raposinha Red,3.8,266,6.27,Portugal,Sin región,Sin maridaje
Conceito,Flip,3.7,84,6.41,Portugal,Sin región,Sin maridaje
Fiuza,Cabernet Sauvignon,3.8,74,6.49,Portugal,Sin región,Sin maridaje
Colinas de São Lourenço,Bairrada Red,3.7,56,6.5,Portugal,Sin región,Sin maridaje
Feuerheerd's,Douro Tinto,3.6,29,6.5,Portugal,Sin región,Sin maridaje
Herdade do Peso,Trinca Bolotas Alentejo Tinto,3.8,109,6.61,Portugal,Sin región,Sin maridaje
Luis Duarte,Artefacto Colheita Seleccionada Touriga Nacional,3.8,112,6.66,Portugal,Sin región,Sin maridaje
Quinta do Gradil,Tinto 1492,3.8,431,6.67,Portugal,Sin región,Sin maridaje
Beyra,Tinto,3.7,39,6.67,Portugal,Sin región,Sin maridaje
Quinta do Gradil,Syrah,4.0,25,6.67,Portugal,Sin región,Sin maridaje
Esporão,Defesa Tinto,3.6,64,6.72,Portugal,Sin región,Sin maridaje
Evel,Douro Tinto,3.8,148,6.77,Portugal,Sin región,Sin maridaje
Bacalhôa,Catarina Tinto,3.9,280,6.77,Portugal,Sin región,Sin maridaje
Adega Ponte da Barca,Reserva Vinhão,3.8,248,6.77,Portugal,Sin región,Sin maridaje
Ravasqueira,Encantado Tinto,3.8,112,6.78,Portugal,Sin región,Sin maridaje
Monte das Talhas,Reserva,3.8,893,6.86,Portugal,Sin región,Sin maridaje
Poças,Trava Línguas Tinto,3.7,213,6.87,Portugal,Sin región,Sin maridaje
Familia Margaça - Sociedade Agricola de Pias,Familia Margaça Vinha do Furo Tinto,3.8,68,6.89,Portugal,Sin región,Sin maridaje
Evidência,Reserva Touriga Nacional,4.0,58,6.95,Portugal,Sin región,Sin maridaje
Kopke,Douro Tinto,3.6,6329,6.96,Portugal,Sin región,Sin maridaje
Villa Alvor,Tinto,3.6,123,6.99,Portugal,Sin región,Sin maridaje
Vila Real,Grande Reserva Tinto,3.9,165,6.99,Portugal,Sin región,Sin maridaje
Ciconia,Reserva Tinto Blend,4.0,130,7.01,Portugal,Sin región,Sin maridaje
Bota Velha,Reserva Tinto,3.7,74,7.01,Portugal,Sin región,Sin maridaje
Raul A. Riba d'Ave,Sílica Tinto,3.8,213,7.09,Portugal,Sin región,Sin maridaje
Esporão,Monte Velho Tinto,3.8,4075,7.24,Portugal,Sin región,Sin maridaje
Quinta de São Sebastião,Touriga Nacional,3.8,243,7.33,Portugal,Sin región,Sin maridaje
Seara d'Ordens,Quinta do Carqueijal Tinto,3.6,44,7.37,Portugal,Sin región,Sin maridaje
Herdade Paço do Conde,Alicante Bouschet,4.0,194,7.38,Portugal,Sin región,Sin maridaje
Herdade Paço do Conde,Syrah,3.8,101,7.38,Portugal,Sin región,Sin maridaje
Herdade Paço do Conde,Touriga Nacional - Syrah,3.9,1578,7.38,Portugal,Sin región,Sin maridaje
Quinta da Biaia,Tinto,3.8,259,7.4,Portugal,Sin región,Sin maridaje
Vicentino,Tinto,3.8,72,7.44,Portugal,Sin región,Sin maridaje
Casa Ferreirinha,Papa Figos Douro,4.0,2021,7.45,Portugal,Sin región,Sin maridaje
Lab,Reserva Tinto,3.6,248,7.48,Portugal,Sin región,Sin maridaje
Quinta das Tecedeiras,Flor das Tecedeiras,3.9,30,7.57,Portugal,Sin región,Sin maridaje
José Maria da Fonseca,Periquita Reserva,3.9,475,7.57,Portugal,Sin región,Sin maridaje
Porta 6,Reserva,3.9,38,7.75,Portugal,Sin región,Sin maridaje
Luis Pato,Baga - Touriga Nacional,3.7,162,7.79,Portugal,Sin región,Sin maridaje
Niepoort,Dão Rótulo Tinto,3.7,118,7.86,Portugal,Sin región,Sin maridaje
Niepoort,Diálogo Tinto,3.8,626,7.86,Portugal,Sin región,Sin maridaje
Bridão,Alicante Bouschet Colheita Seleccionada,4.0,853,7.9,Portugal,Sin región,Sin maridaje
Quinta do Vallado,Tinto,3.9,690,7.9,Portugal,Sin región,Sin maridaje
Niepoort,Douro Fabelhaft Tinto,3.7,392,7.9,Portugal,Sin región,Sin maridaje
José Maria da Fonseca,José de Sousa Alentejano,3.9,177,7.91,Portugal,Sin región,Sin maridaje
Château de Lavagnac,Bordeaux,3.6,76,4.1,Francia,Sin región,Sin maridaje
Château de Callac,Graves Rouge,3.6,220,4.5,Francia,Sin región,Sin maridaje
Les Hauts de Palette,Chateau du Barail Bordeaux,3.3,377,4.6,Francia,Sin región,Sin maridaje
Château Lacoste Garzac,Bordeaux,3.4,2013,4.67,Francia,Sin región,Sin maridaje
Château Haut Bernin,Bordeaux,3.3,68,4.9,Francia,Sin región,Sin maridaje
Château de Brandey,Bordeaux Rouge,3.6,330,4.9,Francia,Sin región,Sin maridaje
Château La Fleur Saint-Jean,Bordeaux,3.6,164,4.95,Francia,Sin región,Sin maridaje
Lafleur Chevalier,Bordeaux,3.3,88,5.0,Francia,Sin región,Sin maridaje
Château Roquefort,Bordeaux Rouge,3.7,2867,5.0,Francia,Sin región,Sin maridaje
Les Vignerons des Albères,Malicieuse Syrah,3.4,49,5.05,Francia,Sin región,Sin maridaje
Vignerons Catalans,4 Saisons Cabernet Sauvignon,3.4,309,5.1,Francia,Sin región,Sin maridaje
Château Reindent,Bordeaux Supérieur,3.7,78,5.27,Francia,Sin región,Sin maridaje
Marquille,Bordeaux Rouge,2.6,106,5.4,Francia,Sin región,Sin maridaje
Arnaud de Villeneuve,To Bi or Not To Bi Merlot - Grenache,3.3,80,5.4,Francia,Sin región,Sin maridaje
Château La Galante,Bordeaux Supérieur,3.6,317,5.45,Francia,Sin región,Sin maridaje
Pierrick Harang,Le Petit Balthazar Merlot,3.0,38,5.5,Francia,Sin región,Sin maridaje
Piaugier,Les Ramières,3.6,88,5.5,Francia,Sin región,Sin maridaje
Les Vignerons de Buzet,Roches d'Hillac,3.3,718,5.86,Francia,Sin región,Sin maridaje
Les Vignerons des Albères,Vieilles Vignes Grenache,3.7,93,5.9,Francia,Sin región,Sin maridaje
Château Montesquieu des Albères,Côtes du Roussillon Rouge,3.6,36,5.9,Francia,Sin región,Sin maridaje
Château Haut Maurin,Bordeaux Rouge,3.4,31,5.9,Francia,Sin región,Sin maridaje
Château Coustaut la Grangeotte,Bordeaux Rouge,3.6,98,5.9,Francia,Sin región,Sin maridaje
Demon Noir,Rouge,3.8,29,5.9,Francia,Sin región,Sin maridaje
Tarani,Millesimé Rouge,4.0,95,5.9,Francia,Sin región,Sin maridaje
Château de Callac,Graves Rouge,3.7,111,5.94,Francia,Sin región,Sin maridaje
Vignerons de Tautavel Vingrau,Le Cirque Rouge,3.6,40,5.95,Francia,Sin región,Sin maridaje
Marrenon,Les Grains Pinot Noir Cuvée Rare,3.4,133,5.99,Francia,Sin región,Sin maridaje
Château Gabelot,Bordeaux,3.7,29,6.0,Francia,Sin región,Sin maridaje
Château des Graves,Bordeaux Supérieur,3.6,281,6.0,Francia,Sin región,Sin maridaje
Château du Juge,Bordeaux Rouge,3.5,136,6.0,Francia,Sin región,Sin maridaje
Lavau,Koudiat Côtes-du-Rhône,3.7,430,6.0,Francia,Sin región,Sin maridaje
Abbe Rous,Malis Rouge,3.5,141,6.05,Francia,Sin región,Sin maridaje
Raoul Mapoul,Rouge,3.8,111,6.1,Francia,Sin región,Sin maridaje
La Belle Angèle,Merlot,3.4,848,6.25,Francia,Sin región,Sin maridaje
La Belle Angèle,Syrah,3.6,26,6.25,Francia,Sin región,Sin maridaje
Uby,No. 7 Tannat - Merlot,3.6,1914,6.25,Francia,Sin región,Sin maridaje
La Belle Angèle,Syrah,3.3,1260,6.25,Francia,Sin región,Sin maridaje
Semper,Squerda Côtes du Roussillon Villages 'Lesquerde',3.7,320,6.3,Francia,Sin región,Sin maridaje
Château du Juge,Bordeaux Supérieur Rouge,3.3,78,6.3,Francia,Sin región,Sin maridaje
Château Hauchat,Fronsac,3.7,207,6.5,Francia,Sin región,Sin maridaje
Château du Juge,Bordeaux Supérieur Rouge,3.3,26,6.5,Francia,Sin región,Sin maridaje
Château l'Ombrière,Bordeaux Supérieur,3.6,764,6.5,Francia,Sin región,Sin maridaje
Château Galau,Côtes de Bourg,3.6,39,6.5,Francia,Sin región,Sin maridaje
Château Galau,Côtes de Bourg,3.6,633,6.5,Francia,Sin región,Sin maridaje
Château Galau,Côtes de Bourg,3.6,63,6.5,Francia,Sin región,Sin maridaje
Château Bellevue,Bordeaux Supérieur,3.8,42,6.5,Francia,Sin región,Sin maridaje
Domaine de la Citadelle,Court Métrage Rouge,3.5,235,6.5,Francia,Sin región,Sin maridaje
Château Le Bourdillot,La Gravette des Lucques Bordeaux Supérieur,3.7,444,6.5,Francia,Sin región,Sin maridaje
Château La Guillaumette,Bordeaux,3.5,432,6.5,Francia,Sin región,Sin maridaje
Domaine de Pellehaut,Harmonie de Gascogne Rouge,3.8,56,6.5,Francia,Sin región,Sin maridaje
Château Greteau Medeville,Bordeaux Supérieur,3.5,238,6.7,Francia,Sin región,Sin maridaje
Marrenon,Les Meridiennes Rouge,3.1,41,6.75,Francia,Sin región,Sin maridaje
Cellier des Chartreux,Cuvée des Chartreux Belle Emilie Rouge,3.4,1086,6.88,Francia,Sin región,Sin maridaje
